,name,url,rating,review_count,price,discount,description
14,"IQOO Z10R 5G (Aquamarine, 256 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/k/r/z10r-5g-i2410-iqoo-original-imahehzhhxvc9xgw.jpeg?q=70,4.4,"3,956 Ratings & 228 Reviews","₹22,354",10% off,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty
15,"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/c/g/-original-imahgctgvra6qqwq.jpeg?q=70,4.3,"7,418 Ratings & 445 Reviews","₹7,999",20% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
16,"REDMI A4 (Sparkle Purple, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/c/z/a4-5g-a4-5g-redmi-original-imah6yhdqpgfw36t.jpeg?q=70,4.3,"15,138 Ratings & 626 Reviews","₹10,396",13% off,4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year
17,"Ai+ Pulse (Blue, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/v/-original-imahgzhp9vgvyfkg.jpeg?q=70,4.3,"45,086 Ratings & 2,680 Reviews","₹7,499",6% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories
18,HOTLINE V63,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/1/w/v63-v63-hotline-original-imah6wa3ccx3bz7r.jpeg?q=70,3.6,"1,260 Ratings & 69 Reviews",₹453,54% off,32 MB RAM | 32 MB ROM4.57 cm (1.8 inch) Display1MP Rear Camera1000 mAh Battery3 Months Manufacturer warranty
19,"POCO C75 5G (Silver Stardust, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/b/b/-original-imahbr2czzcrgfx7.jpeg?q=70,4.2,"1,55,390 Ratings & 6,765 Reviews","₹9,499",17% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
20,"Samsung Galaxy F07 (Green, 64 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/4/-original-imahgacf8wvads6f.jpeg?q=70,4.3,"4,206 Ratings & 212 Reviews","₹7,499",25% off,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
21,"POCO M7 Plus 5G (Carbon Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/t/s/-original-imahf728ffwf54gs.jpeg?q=70,4.3,"6,819 Ratings & 353 Reviews","₹13,999",17% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) Display50MP AI Dual Camera7000 mAh BatterySnapdragon 6s Gen 3 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
22,"realme P4x 5G (Lake Green, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/q/a/-original-imahgdr4nr8vzghm.jpeg?q=70,4.4,"7,635 Ratings & 580 Reviews","₹15,999",11% off,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
23,"IQOO Z10 5G (Stellar Black / Black, 128 GB)",https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/l/j/-original-imahgzpkgd5xy9vs.jpeg?q=70,4.4,"5,471 Ratings & 267 Reviews","₹22,500",13% off,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera7300 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories
